Date,Region,Temperature (K),Rainfall (mm),Humidity (%),Crop Yield Impact Score
2040-01-01,Mystic Falls,307.54999999999995,474.5,61.3,1.89
2040-01-01,Olympus,301.35,106.6,53.6,1.74
2040-01-01,Metropolis,306.15,266.3,93.9,2.18
2040-01-01,Arcadia,304.15,222.2,81.0,1.68
2040-01-01,Elysium,304.85,492.1,61.7,1.89
2040-01-01,Shangri-La,295.45,404.4,86.0,0.98
2040-01-01,Valhalla,302.65,492.9,89.4,1.22
2040-01-01,Eldoria,305.54999999999995,81.3,74.6,2.22
2040-01-01,Valhalla,302.65,492.9,89.4,1.22
2040-01-01,El Dorado,310.35,203.1,79.8,2.05
2040-01-01,Zion,303.85,88.0,67.7,1.78
2040-01-01,Pandora,299.15,142.7,54.4,1.12
2040-01-01,Asgard,299.95,235.4,78.2,1.05
2040-01-01,Wakanda,310.15,20.1,68.9,1.36
2040-01-01,Avalon,293.54999999999995,207.7,83.7,2.25
2040-01-01,Camelot,295.75,51.8,93.6,2.22
2040-01-01,Starling City,310.35,404.5,57.1,2.2
2040-01-01,Dragonstone,295.75,245.8,80.5,1.46
2040-01-01,Emerald City,303.65,301.1,49.8,1.84
2040-01-01,Shangri-La,295.45,404.4,86.0,0.98
2040-01-01,Elysium,304.85,492.1,61.7,1.89
2040-01-01,Arcadia,304.15,222.2,81.0,1.68
2040-01-01,Metropolis,306.15,266.3,93.9,2.18
2040-01-01,Olympus,301.35,106.6,53.6,1.74
2040-01-01,Eldoria,305.54999999999995,81.3,74.6,2.22
2040-01-01,Narnia,308.54999999999995,4.0,92.5,0.61
2040-01-01,Starling City,310.35,404.5,57.1,2.2
2040-01-01,Rivendell,299.95,243.5,49.4,1.37
2040-01-01,Gotham,307.25,361.7,94.6,1.61
2040-01-01,Atlantis,301.25,258.1,88.4,0.92
2040-01-01,Mystic Falls,307.54999999999995,474.5,61.3,1.89
2040-01-01,Neverland,306.15,26.8,56.4,1.86
2040-01-01,Hogsmeade,308.85,150.5,65.6,1.96
2040-01-01,Winterfell,296.54999999999995,392.9,53.2,1.35
2040-01-01,Avalon,293.54999999999995,207.7,83.7,2.25
2040-01-01,Zion,303.85,88.0,67.7,1.78
2040-01-01,Emerald City,303.65,301.1,49.8,1.84
2040-01-01,Dragonstone,295.75,245.8,80.5,1.46
2040-01-01,Narnia,308.54999999999995,4.0,92.5,0.61
2040-01-01,Emerald City,303.65,301.1,49.8,1.84
2040-01-01,Camelot,295.75,51.8,93.6,2.22
2040-01-01,Hogsmeade,308.85,150.5,65.6,1.96
2040-01-01,Mystic Falls,307.54999999999995,474.5,61.3,1.89
2040-01-01,Wakanda,310.15,20.1,68.9,1.36
2040-01-01,Atlantis,301.25,258.1,88.4,0.92
2040-01-01,Rivendell,299.95,243.5,49.4,1.37
2040-01-01,Winterfell,296.54999999999995,392.9,53.2,1.35
2040-01-01,Starling City,310.35,404.5,57.1,2.2
2040-01-01,Neverland,306.15,26.8,56.4,1.86
2040-01-01,Hogsmeade,308.85,150.5,65.6,1.96
2040-01-01,Neverland,306.15,26.8,56.4,1.86
2040-01-01,Gotham,307.25,361.7,94.6,1.61
2040-01-01,Asgard,299.95,235.4,78.2,1.05
2040-01-01,Pandora,299.15,142.7,54.4,1.12
2040-01-01,Eldoria,305.54999999999995,81.3,74.6,2.22
2040-01-01,Narnia,308.54999999999995,4.0,92.5,0.61
2040-01-01,Dragonstone,295.75,245.8,80.5,1.46
2040-01-01,Wakanda,310.15,20.1,68.9,1.36
2040-01-01,Asgard,299.95,235.4,78.2,1.05
2040-01-01,Pandora,299.15,142.7,54.4,1.12
2040-01-01,Zion,303.85,88.0,67.7,1.78
2040-01-01,El Dorado,310.35,203.1,79.8,2.05
2040-01-01,Camelot,295.75,51.8,93.6,2.22
2040-01-01,Avalon,293.54999999999995,207.7,83.7,2.25
2040-01-01,Valhalla,302.65,492.9,89.4,1.22
2040-01-01,Shangri-La,295.45,404.4,86.0,0.98
2040-01-01,Elysium,304.85,492.1,61.7,1.89
2040-01-01,Arcadia,304.15,222.2,81.0,
2040-01-01,Metropolis,306.15,266.3,93.9,2.18
2040-01-01,Olympus,301.35,106.6,53.6,1.74
2040-01-01,El Dorado,310.35,203.1,79.8,2.05
2040-01-01,Mystic Falls,307.54999999999995,474.5,61.3,1.89
2040-01-01,Winterfell,296.54999999999995,392.9,53.2,1.35
2040-01-01,Hogsmeade,308.85,150.5,65.6,1.96
2040-01-01,Neverland,306.15,26.8,56.4,1.86
2040-01-01,Narnia,308.54999999999995,4.0,92.5,0.61
2040-01-01,Dragonstone,295.75,245.8,80.5,1.46
2040-01-01,Wakanda,310.15,20.1,68.9,1.36
2040-01-01,Asgard,299.95,235.4,78.2,1.05
2040-01-01,Pandora,299.15,142.7,54.4,1.12
2040-01-01,Metropolis,306.15,266.3,93.9,2.18
2040-01-01,Olympus,301.35,106.6,53.6,1.74
2040-01-01,Camelot,295.75,51.8,93.6,2.22
2040-01-01,Avalon,293.54999999999995,207.7,83.7,2.25
2040-01-01,Valhalla,302.65,492.9,89.4,1.22
2040-01-01,Shangri-La,295.45,404.4,86.0,0.98
2040-01-01,Elysium,304.85,492.1,61.7,1.89
2040-01-01,Arcadia,304.15,222.2,81.0,
2040-01-01,Zion,303.85,88.0,67.7,1.78
2040-01-01,El Dorado,310.35,203.1,79.8,2.05
2040-01-01,Eldoria,305.54999999999995,81.3,74.6,2.22
2040-01-01,Emerald City,303.65,301.1,49.8,1.84
2040-01-01,Winterfell,296.54999999999995,392.9,53.2,1.35
2040-01-01,Rivendell,299.95,243.5,49.4,1.37
2040-01-01,Gotham,307.25,361.7,94.6,1.61
2040-01-01,Atlantis,301.25,258.1,88.4,0.92
2040-01-01,Mystic Falls,307.54999999999995,474.5,61.3,1.89
2040-01-01,Neverland,306.15,26.8,56.4,1.86
2040-01-01,El Dorado,310.35,203.1,79.8,2.05
2040-01-01,Starling City,310.35,404.5,57.1,2.2
2040-01-01,Narnia,308.54999999999995,4.0,92.5,0.61
2040-01-01,Dragonstone,295.75,245.8,80.5,1.46
2040-01-01,Wakanda,310.15,20.1,68.9,1.36
2040-01-01,Asgard,299.95,235.4,78.2,1.05
2040-01-01,Pandora,299.15,142.7,54.4,1.12
2040-01-01,Zion,303.85,88.0,67.7,1.78
2040-01-01,Hogsmeade,308.85,150.5,65.6,1.96
2040-01-01,Camelot,295.75,51.8,93.6,2.22
2040-01-01,Emerald City,303.65,301.1,49.8,1.84
2040-01-01,Valhalla,302.65,492.9,89.4,1.22
2040-01-01,Elysium,304.85,492.1,61.7,1.89
2040-01-01,Arcadia,304.15,222.2,81.0,1.68
2040-01-01,Metropolis,306.15,266.3,93.9,2.18
2040-01-01,Olympus,301.35,106.6,53.6,1.74
2040-01-01,Starling City,310.35,404.5,57.1,2.2
2040-01-01,Winterfell,296.54999999999995,392.9,53.2,1.35
2040-01-01,Shangri-La,295.45,404.4,86.0,0.98
2040-01-01,Rivendell,299.95,243.5,49.4,1.37
2040-01-01,Atlantis,301.25,258.1,88.4,0.92
2040-01-01,Mystic Falls,307.54999999999995,474.5,61.3,1.89
2040-01-01,Neverland,306.15,26.8,56.4,1.86
2040-01-01,Hogsmeade,308.85,150.5,65.6,1.96
2040-01-01,Avalon,293.54999999999995,207.7,83.7,2.25
2040-01-01,Emerald City,303.65,301.1,49.8,1.84
2040-01-01,Gotham,307.25,361.7,94.6,1.61
2040-01-01,Narnia,308.54999999999995,4.0,92.5,0.61
2040-01-01,Eldoria,305.54999999999995,81.3,74.6,2.22
2040-01-01,Wakanda,310.15,20.1,68.9,1.36
2040-01-01,Pandora,299.15,142.7,54.4,1.12
2040-01-01,Dragonstone,295.75,245.8,80.5,1.46
2040-01-01,El Dorado,310.35,203.1,79.8,2.05
2040-01-01,Camelot,295.75,51.8,93.6,2.22
2040-01-01,Avalon,293.54999999999995,207.7,83.7,2.25
2040-01-01,Valhalla,302.65,492.9,89.4,1.22
2040-01-01,Asgard,299.95,235.4,78.2,1.05
2040-01-01,Shangri-La,295.45,404.4,86.0,0.98
2040-01-01,Zion,303.85,88.0,67.7,1.78
2040-01-01,Metropolis,306.15,266.3,93.9,2.18
2040-01-01,Olympus,301.35,106.6,53.6,1.74
2040-01-01,Eldoria,305.54999999999995,81.3,74.6,2.22
2040-01-01,Starling City,310.35,404.5,57.1,2.2
2040-01-01,Winterfell,296.54999999999995,392.9,53.2,1.35
2040-01-01,Elysium,304.85,492.1,61.7,1.89
2040-01-01,Arcadia,304.15,222.2,81.0,1.68
2040-01-02,Shangri-La,295.45,404.4,86.0,0.98
2040-01-02,Valhalla,302.65,492.9,89.4,1.22
2040-01-02,Avalon,293.54999999999995,207.7,83.7,2.25
2040-01-02,Camelot,295.75,51.8,93.6,2.22
2040-01-02,El Dorado,310.35,203.1,79.8,2.05
2040-01-02,Zion,303.85,88.0,67.7,1.78
2040-01-02,Dragonstone,295.75,245.8,80.5,1.46
2040-01-02,Asgard,299.95,235.4,78.2,1.05
2040-01-02,Wakanda,310.15,20.1,68.9,1.36
2040-01-02,Narnia,308.54999999999995,4.0,92.5,0.61
